"prefix","answer","freq"
"a","few",33326
"a","great",33828
"a","little",30981
"a","lot",31887
"à","à",7
"ã","ã",25
"ã","inches",14
"ã","la",41
"ã","or",11
"aa","and",24
"aa","for",11
"aa","is",14
"aa","miln",10
"aaa","and",4
"aaa","rating",4
"aaa","titles",4
"aááäágayoga","and",4
"aaaaand","i",4
"aaahhhhh","oohh",5
"aaasmtg","cornelia",5
"aadhaar","card",4
"aagaard","farms",4
"aah","i",7
"aah","thats",4
"aahed","at",4
"aahing","over",6
"aaliyah","was",4
"aam","and",10
"aam","in",9
"aam","k",6
"aam","online",13
"aamer","anwar",6
"aamir","khan",9
"aamir","khans",7
"aan","zee",7
"aaohn","j",4
"aap","rocki",4
"aap","rocky",16
"aapl","and",4
"aapl","stock",7
"aare","you",6
"aarhus","denmark",4
"aaron","and",50
"aaron","craft",21
"aaron","is",27
"aaron","rodgers",130
"aarp","card",11
"aarp","magazine",5
"aasl","in",4
"äasy","is",4
"aau","basketball",6
"aau","coach",5
"aau","game",6
"aau","nationals",4
"aau","team",10
"aau","teams",4
"aavg","looking",6
"ab","and",16
"ab","initio",24
"ab","the",19
"ab","to",16
"ab","workout",25
"aba","is",5
"aba","program",4
"aba","update",5
"abab","of",4
"aback","but",9
"aback","by",34
"aback","to",10
"aback","when",7
"abandon","all",24
"abandon","his",20
"abandon","the",61
"abandon","their",29
"abandoned","and",43
"abandoned","by",60
"abandoned","me",27
"abandoned","the",93
"abandoning","all",6
"abandoning","her",6
"abandoning","it",9
"abandoning","my",8
"abandoning","the",27
"abandoning","their",6
"abandoning","them",8
"abandonment","and",13
"abandonment","i",8
"abandonment","issues",14
"abandonment","of",47
"abandons","his",5
"abased","and",4
"abated","and",6
"abba","and",8
"abba","father",10
"abba","songs",4
"abbas","who",4
"abbaye","de",5
"abbey","and",37
"abbey","i",13
"abbey","in",13
"abbey","is",25
"abbey","road",32
"abbie","is",4
"abbot","kinney",18
"abbot","of",8
"abbott","and",15
"abbott","costello",5
"abbott","has",4
"abbott","laboratories",6
"abbott","said",4
"abbottabad","compound",7
"abbottabad","pakistan",6
"abbreviated","as",6
"abbreviated","version",6
"abbreviation","for",19
"abbreviation","of",4
"abbreviations","are",4
"abbreviations","in",4
"abby","and",35
"abby","had",10
"abby","is",20
"abby","was",17
"abc","and",29
"abc","family",121
"abc","is",21
"abc","news",79
"abcs","and",9
"abcs","good",6
"abcs","new",6
"abcs","of",20
"abcs","the",7
"abcs","this",6
"abdc","again",11
"abdc","i",10
"abdc","is",14
"abdc","stage",12
"abdc","tonight",11
"abdel","moneim",5
"abdication","of",7
"abdomen","and",9
"abdomen","i",6
"abdomen","is",5
"abdomen","that",5
"abdomen","the",4
"abdomen","with",4
"abdominal","fat",10
"abdominal","muscles",8
"abdominal","pain",18
"abdominal","strain",11
"abdu","and",4
"abducted","and",16
"abducted","by",39
"abducted","her",5
"abducted","the",5
"abduction","and",14
"abduction","convention",4
"abduction","of",14
"abduction","that",4
"abductions","and",5
"abdul","aziz",22
"abdul","jabbar",10
"abdul","rahman",16
"abdul","razak",21
"abdulbahã","is",19
"abdulbahãs","train",5
"abdullah","ahmad",8
"abdullah","bin",5
"abdullah","is",5
"abdullah","said",10
"abdullah","saleh",5
"abe","and",5
"abe","is",5
"abe","lincoln",38
"abe","vigoda",11
"abeachdude","orlando",5
"abel","and",5
"abel","ferrara",5
"abel","his",5
"abel","is",6
"abel","was",4
"abercrombie","and",12
"abercrombie","fitch",20
"abercrombie","fitchs",5
"aberdeen","and",5
"aberdeen","to",5
"abernathy","woody",5
"aberration","a",4
"aberystwyth","and",4
"abetted","by",13
"abetting","the",4
"abhor","his",4
"abhor","the",5
"abhorrence","of",5
"abhorrent","to",11
"abhors","a",4
"abi","and",4
"abi","waqqas",4
"abide","and",8
"abide","by",95
"abide","in",58
"abide","with",10
"abides","by",10
"abides","in",19
"abideth","in",7
"abiding","and",5
"abiding","by",12
"abiding","citizen",9
"abiding","citizens",10
"abiding","in",10
"abiding","love",5
"abigail","a",4
"abigail","adam",5
"abigail","and",12
"abigail","in",5
"abigail","is",5
"abilene","texa",4
"abilities","and",107
"abilities","of",37
"abilities","that",29
"abilities","to",72
"ability","and",128
"ability","is",49
"ability","of",185
"ability","to",3605
"abit","of",10
"abit","too",9
"abita","amber",4
"abita","brewing",4
"abita","pecan",5
"abita","strawberry",4
"abject","failure",4
"abject","of",4
"abject","poverty",16
"abjection","and",4
"abkhazia","and",4
"ablaze","in",4
"ablaze","with",10
"able","and",46
"able","i",12
"able","or",15
"able","to",19623
"able","too",12
"ablebodied","as",11
"ableton","live",6
"abnormal","and",5
"abnormal","for",5
"abnormal","or",5
"abnormal","status",16
"abnormalities","in",16
"abnormality","in",5
"abnormally","delayed",4
"abnormally","high",8
"abnormally","large",4
"aboard","a",48
"aboard","an",10
"aboard","and",21
"aboard","the",143
"abodah","zarah",4
"abode","and",8
"abode","for",6
"abode","i",10
"abode","in",6
"abode","lovers",6
"abode","of",23
"abolish","any",4
"abolish","it",8
"abolish","slavery",5
"abolish","the",43
"abolish","those",4
"abolished","and",8
"abolished","by",8
"abolished","in",11
"abolished","slavery",6
